**********************
Beginn des PowerShell-Transkripts
Startzeit: 20260914064413
Benutzername: MAXHAMBI\Max Hambi
RunAs-Benutzer: MAXHAMBI\Max Hambi
Konfigurationsname: 
Computer: MAXHAMBI (Microsoft Windows NT 10.0.26200.0)
Hostanwendung: C:\Program Files\PowerShell\7\pwsh.dll -NoProfile -ExecutionPolicy Bypass -Command Import-Module 'c:\Users\Max Hambi\.vscode\extensions\ms-vscode.powershell-2025.4.0\modules\PowerShellEditorServices\PowerShellEditorServices.psd1'; Start-EditorServices -HostName 'Visual Studio Code Host' -HostProfileId 'Microsoft.VSCode' -HostVersion '2025.4.0' -BundledModulesPath 'c:\Users\Max Hambi\.vscode\extensions\ms-vscode.powershell-2025.4.0\modules' -EnableConsoleRepl -StartupBanner "PowerShell Extension v2025.4.0
Copyright (c) Microsoft Corporation.

https://aka.ms/vscode-powershell
Type 'help' to get help.
" -LogLevel 'Warning' -LogPath 'c:\Users\Max Hambi\AppData\Roaming\Code\logs\20260914T051853\window1\exthost\ms-vscode.powershell' -SessionDetailsPath 'c:\Users\Max Hambi\AppData\Roaming\Code\User\globalStorage\ms-vscode.powershell\sessions\PSES-VSCode-20716-829502.json' -FeatureFlags @() 
Prozess-ID: 22828
PSVersion: 7.6.6
PSEdition: Core
GitCommitId: 7.6.6
OS: Microsoft Windows 10.0.26200
Platform: Win32NT
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1, 6.0, 7.0
PSRemotingProtocolVersion: 2.4
SerializationVersion: 1.1.0.1
WSManStackVersion: 3.0
**********************
2026-09-14 06:44:42 [info] Erstellt: 03C44.png {"dauerMs":330}
2026-09-14 06:44:42 [info] Erstellt: 03C45.png {"dauerMs":274}
2026-09-14 06:44:42 [info] Erstellt: 03C46.png {"dauerMs":264}
2026-09-14 06:44:43 [info] Erstellt: 03C47.png {"dauerMs":275}
2026-09-14 06:44:43 [info] Erstellt: 03C48.png {"dauerMs":264}
2026-09-14 06:44:43 [info] Erstellt: 03C49.png {"dauerMs":297}
2026-09-14 06:44:44 [info] Erstellt: 03C50.png {"dauerMs":252}
2026-09-14 06:44:44 [info] Erstellt: 03C51.png {"dauerMs":269}
2026-09-14 06:44:44 [info] Erstellt: 04C01.png {"dauerMs":254}
2026-09-14 06:44:44 [info] Erstellt: 04C02.png {"dauerMs":287}
2026-09-14 06:44:45 [info] Erstellt: 04C03.png {"dauerMs":263}
2026-09-14 06:44:45 [info] Erstellt: 04C04.png {"dauerMs":260}
2026-09-14 06:44:45 [info] Erstellt: 04C05.png {"dauerMs":263}
2026-09-14 06:44:45 [info] Erstellt: 04C06.png {"dauerMs":257}
2026-09-14 06:44:46 [info] Erstellt: 04C07.png {"dauerMs":261}
2026-09-14 06:44:46 [info] Erstellt: 04C08.png {"dauerMs":262}
2026-09-14 06:44:46 [info] Erstellt: 04C09.png {"dauerMs":287}
2026-09-14 06:44:46 [info] Erstellt: 04C10.png {"dauerMs":259}
2026-09-14 06:44:47 [info] Erstellt: 04C11.png {"dauerMs":255}
2026-09-14 06:44:47 [info] Erstellt: 04C12.png {"dauerMs":263}
2026-09-14 06:44:47 [info] Erstellt: 04C13.png {"dauerMs":347}
2026-09-14 06:44:48 [info] Erstellt: 04C14.png {"dauerMs":254}
2026-09-14 06:44:48 [info] Erstellt: 04C15.png {"dauerMs":262}
2026-09-14 06:44:48 [info] Erstellt: 04C16.png {"dauerMs":272}
2026-09-14 06:44:48 [info] Erstellt: 04C17.png {"dauerMs":253}
2026-09-14 06:44:49 [info] Erstellt: 04C18.png {"dauerMs":259}
2026-09-14 06:44:49 [info] Erstellt: 04C19.png {"dauerMs":270}
2026-09-14 06:44:49 [info] Erstellt: 04C20.png {"dauerMs":289}
2026-09-14 06:44:49 [info] Erstellt: 04C21.png {"dauerMs":268}
2026-09-14 06:44:50 [info] Erstellt: 04C22.png {"dauerMs":266}
2026-09-14 06:44:50 [info] Erstellt: 04C23.png {"dauerMs":271}
2026-09-14 06:44:50 [info] Erstellt: 04C24.png {"dauerMs":265}
2026-09-14 06:44:51 [info] Erstellt: 04C25.png {"dauerMs":263}
2026-09-14 06:44:51 [info] Erstellt: 04C26.png {"dauerMs":261}
2026-09-14 06:44:51 [info] Erstellt: 04C27.png {"dauerMs":261}
2026-09-14 06:44:51 [info] Erstellt: 04C28.png {"dauerMs":254}
2026-09-14 06:44:52 [info] Erstellt: 04C29.png {"dauerMs":281}
2026-09-14 06:44:52 [info] Erstellt: 04C30.png {"dauerMs":262}
2026-09-14 06:44:52 [info] Erstellt: 04C31.png {"dauerMs":269}
2026-09-14 06:44:52 [info] Erstellt: 04C32.png {"dauerMs":306}
2026-09-14 06:44:53 [info] Erstellt: 04C33.png {"dauerMs":376}
2026-09-14 06:44:53 [info] Erstellt: 04C34.png {"dauerMs":277}
2026-09-14 06:44:53 [info] Erstellt: 04C35.png {"dauerMs":265}
2026-09-14 06:44:54 [info] Erstellt: 04C36.png {"dauerMs":268}
2026-09-14 06:44:54 [info] Erstellt: 04C37.png {"dauerMs":263}
2026-09-14 06:44:54 [info] Erstellt: 04C38.png {"dauerMs":263}
2026-09-14 06:44:54 [info] Erstellt: 04C39.png {"dauerMs":287}
2026-09-14 06:44:55 [info] Erstellt: 04C40.png {"dauerMs":269}
2026-09-14 06:44:55 [info] Erstellt: 04C41.png {"dauerMs":261}
2026-09-14 06:44:55 [info] Erstellt: 04C42.png {"dauerMs":280}
2026-09-14 06:44:56 [info] Erstellt: 04C43.png {"dauerMs":273}
2026-09-14 06:44:56 [info] Erstellt: 04C44.png {"dauerMs":257}
2026-09-14 06:44:56 [info] Erstellt: 04C45.png {"dauerMs":263}
2026-09-14 06:44:56 [info] Erstellt: 04C46.png {"dauerMs":275}
2026-09-14 06:44:57 [info] Erstellt: 04C47.png {"dauerMs":277}
2026-09-14 06:44:57 [info] Erstellt: 04C48.png {"dauerMs":261}
2026-09-14 06:44:57 [info] Erstellt: 04C49.png {"dauerMs":264}
2026-09-14 06:44:57 [info] Erstellt: 04C50.png {"dauerMs":350}
2026-09-14 06:44:58 [info] Erstellt: 04C51.png {"dauerMs":261}
2026-09-14 06:44:58 [info] Fertig. 168 erstellt, 0 uebersprungen. {"gesamtDauerMs":44936}
**********************
Ende des PowerShell-Transkripts
Endzeit: 20260914064458
**********************
